Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,1,29813.25,29829.25,7/9/2026 7:36:38 AM,7/9/2026 7:40:07 AM,Scalp_Opening_Momentum_Long,Stop loss,$30.70,$30.70,$1.30,$0.00,$0.00,$0.00,$0.00,$28.50,$98.00,$67.30,2,
2,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,1,29813.50,29829.25,7/9/2026 7:36:39 AM,7/9/2026 7:40:07 AM,Scalp_Opening_Momentum_Long,Stop loss,$30.20,$60.90,$1.30,$0.00,$0.00,$0.00,$0.00,$29.00,$97.50,$67.30,2,
3,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,4,29768.50,29768.25,7/9/2026 8:36:20 AM,7/9/2026 8:37:02 AM,Scalp_Failed_Test_Retest_Long_5m,Stop loss,($7.20),$53.70,$5.20,$0.00,$0.00,$0.00,$0.00,$40.00,$64.00,$71.20,1,
4,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,2,29850.25,29870.50,7/9/2026 9:18:05 AM,7/9/2026 9:27:30 AM,Scalp_Failed_Test_Retest_Long_5m,Sell,$78.40,$132.10,$2.60,$0.00,$0.00,$0.00,$0.00,$81.00,$143.00,$64.60,3,
5,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,2,29850.25,29870.25,7/9/2026 9:18:05 AM,7/9/2026 9:27:31 AM,Scalp_Failed_Test_Retest_Long_5m,Sell,$77.40,$209.50,$2.60,$0.00,$0.00,$0.00,$0.00,$81.00,$143.00,$65.60,3,
6,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,1,29896.50,29945.75,7/9/2026 10:59:00 AM,7/9/2026 11:07:20 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,($99.80),$109.70,$1.30,$0.00,$0.00,$0.00,$0.00,$99.50,$16.00,$115.80,3,
7,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,1,29896.25,29945.75,7/9/2026 10:59:01 AM,7/9/2026 11:07:20 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,($100.30),$9.40,$1.30,$0.00,$0.00,$0.00,$0.00,$100.00,$15.50,$115.80,3,
8,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Short,2,29896.25,29946.00,7/9/2026 10:59:01 AM,7/9/2026 11:07:20 AM,Scalp_Failed_Test_Retest_Short_5m,Stop loss,($201.60),($192.20),$2.60,$0.00,$0.00,$0.00,$0.00,$200.00,$31.00,$232.60,3,
9,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,1,29976.75,29981.75,7/9/2026 11:46:01 AM,7/9/2026 11:49:28 AM,Scalp_Failed_Test_Retest_Long_5m,Stop loss,$8.70,($183.50),$1.30,$0.00,$0.00,$0.00,$0.00,$6.00,$31.50,$22.80,1,
10,MNQ 09-26,SimAccount2,InstitutionalLevelStrategyV2,Long,3,29976.75,29981.50,7/9/2026 11:46:01 AM,7/9/2026 11:49:28 AM,Scalp_Failed_Test_Retest_Long_5m,Stop loss,$24.60,($158.90),$3.90,$0.00,$0.00,$0.00,$0.00,$18.00,$94.50,$69.90,1,
