[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:21:00 sess=ETH_post-RTH bar=50 minsIn=981 dow=Thursday px=28937.25 O=28938.25 H=28942.50 L=28935.75 C=28937.25 V=357 sessO=28938.25 sessH=28942.50 sessL=28935.75 pctFromO=+0.00% sessVol=45439 volRatio=0.41 volTrend=decreasing pctAbovePOC=100% pctUpperRange=50% trendStr=4/10 rangePos=1.37 cd24=735 cdRTH=0 deltaAsPct=+1.62% deltaTrend=accel_positive etDelta=0 divActive=False priceSlope=-0.15 deltaSlope=+83.80 barConv=7/10 swing=INSUFFICIENT_DATA bos=none emaStack=MIXED stackAge=0 e5=28934.96 e9=28930.69 e21=28927.05 e50=28941.09 abv=5:A 9:A 21:A 50:B POC=28935.75(+1.50pts/0.09ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=TO@28938.25(-1.00pts/0.06ATR) lvlsIn1ATR=4 avwaps=0 nearAvwap=none sessVwap=28938.50 atr5m=16.64 atrRatio=0.92 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-5.25 ethLowDist=+1.50 openType=PRE_RTH regime=OVERNIGHT_QUIET(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=909 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28940.50(-3.25) VAL=28935.75(+1.50) volPctl=14 IB=n/a OR=n/a otf=nonex0 choch=none valueMigAgeMin=-1 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:26:00 sess=ETH_post-RTH bar=55 minsIn=986 dow=Thursday px=28963.25 O=28964.00 H=28965.50 L=28961.25 C=28963.25 V=245 sessO=28938.25 sessH=28967.50 sessL=28935.75 pctFromO=+0.09% sessVol=49122 volRatio=0.31 volTrend=decreasing pctAbovePOC=35% pctUpperRange=71% trendStr=3/10 rangePos=0.86 cd24=956 cdRTH=0 deltaAsPct=+1.95% deltaTrend=accel_positive etDelta=0 divActive=False priceSlope=+1.65 deltaSlope=+19.00 barConv=5/10 swing=INSUFFICIENT_DATA bos=none emaStack=MIXED stackAge=5 e5=28958.99 e9=28951.81 e21=28940.16 e50=28944.77 abv=5:A 9:A 21:A 50:A POC=28961.25(+2.00pts/0.13ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=POC@28961.25(+2.00pts/0.13ATR) lvlsIn1ATR=2 avwaps=1 nearAvwap=28957.48(rising,+5.77pts) sessVwap=28955.80 AVWAP0[Vol val=28957.48 rising above +5.77pts] atr5m=14.90 atrRatio=0.88 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-4.25 ethLowDist=+27.50 openType=PRE_RTH regime=DRIFTING(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=904 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28967.50(-4.25) VAL=28952.00(+11.25) volPctl=5 IB=n/a OR=n/a otf=nonex0 choch=none valueMigAgeMin=0 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:31:00 sess=ETH_post-RTH bar=60 minsIn=991 dow=Thursday px=28954.75 O=28957.25 H=28959.25 L=28953.75 C=28954.75 V=269 sessO=28938.25 sessH=28967.50 sessL=28935.75 pctFromO=+0.06% sessVol=50639 volRatio=0.37 volTrend=flat pctAbovePOC=49% pctUpperRange=78% trendStr=4/10 rangePos=0.53 cd24=853 cdRTH=0 deltaAsPct=+1.68% deltaTrend=accel_negative etDelta=0 divActive=False priceSlope=-1.45 deltaSlope=-17.20 barConv=3/10 swing=INSUFFICIENT_DATA bos=none emaStack=MIXED stackAge=10 e5=28957.03 e9=28955.43 e21=28946.76 e50=28947.12 abv=5:B 9:B 21:A 50:A POC=28958.75(-4.00pts/0.32ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=POC@28958.75(-4.00pts/0.32ATR) lvlsIn1ATR=1 avwaps=1 nearAvwap=28957.64(falling,-2.89pts) sessVwap=28956.41 AVWAP0[Vol val=28957.64 falling below -2.89pts] atr5m=12.46 atrRatio=0.78 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-12.75 ethLowDist=+19.00 openType=PRE_RTH regime=DRIFTING(age=5) rthPhase=closed ethPhase=post-RTH minsToRTH=899 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28965.25(-10.50) VAL=28953.50(+1.25) volPctl=10 IB=n/a OR=n/a otf=upx1 choch=none valueMigAgeMin=0 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:35:00 sess=ETH_post-RTH bar=64 minsIn=995 dow=Thursday px=28918.50 O=28952.00 H=28952.50 L=28899.75 C=28918.50 V=2058 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.07% sessVol=53737 volRatio=2.97 volTrend=increasing pctAbovePOC=31% pctUpperRange=85% trendStr=5/10 rangePos=1.09 cd24=47 cdRTH=0 deltaAsPct=+0.09% deltaTrend=accel_negative etDelta=0 divActive=False priceSlope=-7.25 deltaSlope=-161.20 barConv=8/10 swing=INSUFFICIENT_DATA bos=none emaStack=MIXED stackAge=0 e5=28941.92 e9=28946.79 e21=28945.43 e50=28946.56 abv=5:B 9:B 21:B 50:B POC=28958.75(-40.25pts/2.85ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=TL@28899.75(+18.75pts/1.33ATR) lvlsIn1ATR=0 avwaps=2 nearAvwap=28923.58(flat,-5.08pts) sessVwap=28948.03 AVWAP0[Vol val=28948.44 falling below -29.94pts] AVWAP1[Vol val=28923.58 flat below -5.08pts] atr5m=14.12 atrRatio=0.94 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-49.00 ethLowDist=+18.75 openType=PRE_RTH regime=OVERNIGHT_QUIET(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=895 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28965.75(-47.25) VAL=28944.50(-26.00) volPctl=94 IB=n/a OR=n/a otf=downx1 choch=none valueMigAgeMin=4 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:40:00 sess=ETH_post-RTH bar=69 minsIn=1000 dow=Thursday px=28922.75 O=28914.25 H=28924.50 L=28913.75 C=28922.75 V=513 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.05% sessVol=57151 volRatio=0.85 volTrend=decreasing pctAbovePOC=23% pctUpperRange=61% trendStr=5/10 rangePos=1.09 cd24=83 cdRTH=0 deltaAsPct=+0.15% deltaTrend=accel_negative etDelta=0 divActive=False priceSlope=-1.45 deltaSlope=-9.80 barConv=7/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=4 e5=28922.69 e9=28928.85 e21=28935.99 e50=28941.88 abv=5:A 9:B 21:B 50:B POC=28958.75(-36.00pts/2.63ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=TO@28938.25(-15.50pts/1.13ATR) lvlsIn1ATR=0 avwaps=2 nearAvwap=28921.54(falling,+1.21pts) sessVwap=28940.19 AVWAP0[Vol val=28940.24 falling below -17.49pts] AVWAP1[Vol val=28921.54 falling above +1.21pts] atr5m=13.69 atrRatio=0.96 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-44.75 ethLowDist=+23.00 openType=PRE_RTH regime=OVERNIGHT_QUIET(age=5) rthPhase=closed ethPhase=post-RTH minsToRTH=890 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28967.50(-44.75) VAL=28926.00(-3.25) volPctl=36 IB=n/a OR=n/a otf=upx1 choch=none valueMigAgeMin=9 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:43:00 sess=ETH_post-RTH bar=72 minsIn=1003 dow=Thursday px=28920.50 O=28920.75 H=28925.25 L=28919.50 C=28920.50 V=237 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.06% sessVol=57831 volRatio=0.48 volTrend=decreasing pctAbovePOC=21% pctUpperRange=58% trendStr=6/10 rangePos=0.67 cd24=105 cdRTH=0 deltaAsPct=+0.18% deltaTrend=accel_positive etDelta=0 divActive=False priceSlope=+1.05 deltaSlope=+15.40 barConv=3/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=7 e5=28921.32 e9=28924.88 e21=28932.19 e50=28939.48 abv=5:B 9:B 21:B 50:B POC=28958.75(-38.25pts/3.19ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=TO@28938.25(-17.75pts/1.48ATR) lvlsIn1ATR=0 avwaps=2 nearAvwap=28921.49(flat,-0.99pts) sessVwap=28939.17 AVWAP0[Vol val=28939.19 falling below -18.69pts] AVWAP1[Vol val=28921.49 flat below -0.99pts] atr5m=12.00 atrRatio=0.89 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-47.00 ethLowDist=+20.75 openType=PRE_RTH regime=DRIFTING(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=887 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28967.50(-47.00) VAL=28924.00(-3.50) volPctl=6 IB=n/a OR=n/a otf=upx1 choch=none valueMigAgeMin=12 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:45:00 sess=ETH_post-RTH bar=74 minsIn=1005 dow=Thursday px=28917.50 O=28918.00 H=28919.50 L=28911.75 C=28917.50 V=339 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.07% sessVol=58464 volRatio=0.71 volTrend=increasing pctAbovePOC=20% pctUpperRange=55% trendStr=5/10 rangePos=0.59 cd24=14 cdRTH=0 deltaAsPct=+0.02% deltaTrend=accel_negative etDelta=0 divActive=False priceSlope=-0.45 deltaSlope=-14.80 barConv=4/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=9 e5=28919.25 e9=28922.26 e21=28929.66 e50=28937.80 abv=5:B 9:B 21:B 50:B POC=28958.75(-41.25pts/3.63ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=TL@28899.75(+17.75pts/1.56ATR) lvlsIn1ATR=0 avwaps=2 nearAvwap=28921.08(falling,-3.58pts) sessVwap=28938.13 AVWAP0[Vol val=28938.12 falling below -20.62pts] AVWAP1[Vol val=28921.08 falling below -3.58pts] atr5m=11.35 atrRatio=0.87 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-50.00 ethLowDist=+17.75 openType=PRE_RTH regime=OVERNIGHT_QUIET(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=885 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28967.50(-50.00) VAL=28922.50(-5.00) volPctl=20 IB=n/a OR=n/a otf=downx2 choch=none valueMigAgeMin=14 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:46:00 sess=ETH_post-RTH bar=75 minsIn=1006 dow=Thursday px=28913.50 O=28918.25 H=28922.25 L=28912.75 C=28913.50 V=281 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.09% sessVol=58745 volRatio=0.58 volTrend=increasing pctAbovePOC=20% pctUpperRange=54% trendStr=6/10 rangePos=0.63 cd24=-53 cdRTH=0 deltaAsPct=-0.09% deltaTrend=accel_negative etDelta=0 divActive=False priceSlope=-1.65 deltaSlope=-28.20 barConv=7/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=10 e5=28917.33 e9=28920.51 e21=28928.19 e50=28936.85 abv=5:B 9:B 21:B 50:B POC=28958.75(-45.25pts/4.03ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=TL@28899.75(+13.75pts/1.23ATR) lvlsIn1ATR=0 avwaps=2 nearAvwap=28920.88(falling,-7.38pts) sessVwap=28937.67 AVWAP0[Vol val=28937.65 falling below -24.15pts] AVWAP1[Vol val=28920.88 falling below -7.38pts] atr5m=11.22 atrRatio=0.87 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-54.00 ethLowDist=+13.75 openType=PRE_RTH regime=DRIFTING(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=884 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28967.50(-54.00) VAL=28921.75(-8.25) volPctl=13 IB=n/a OR=n/a otf=upx1 choch=none valueMigAgeMin=15 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:51:00 sess=ETH_post-RTH bar=80 minsIn=1011 dow=Thursday px=28909.25 O=28913.50 H=28915.75 L=28907.25 C=28909.25 V=273 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.10% sessVol=59802 volRatio=0.60 volTrend=increasing pctAbovePOC=84% pctUpperRange=50% trendStr=6/10 rangePos=0.62 cd24=-62 cdRTH=0 deltaAsPct=-0.10% deltaTrend=accel_negative etDelta=0 divActive=False priceSlope=-0.85 deltaSlope=-6.80 barConv=3/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=15 e5=28913.28 e9=28915.55 e21=28922.59 e50=28932.62 abv=5:B 9:B 21:B 50:B POC=28914.75(-5.50pts/0.56ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=POC@28914.75(-5.50pts/0.56ATR) lvlsIn1ATR=2 avwaps=2 nearAvwap=28919.95(falling,-10.70pts) sessVwap=28935.95 AVWAP0[Vol val=28935.89 falling below -26.64pts] AVWAP1[Vol val=28919.95 falling below -10.70pts] atr5m=9.81 atrRatio=0.81 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-58.25 ethLowDist=+9.50 openType=PRE_RTH regime=DRIFTING(age=5) rthPhase=closed ethPhase=post-RTH minsToRTH=879 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28954.00(-44.75) VAL=28907.25(+2.00) volPctl=16 IB=n/a OR=n/a otf=downx2 choch=none valueMigAgeMin=0 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:52:00 sess=ETH_post-RTH bar=81 minsIn=1012 dow=Thursday px=28913.50 O=28909.75 H=28916.75 L=28907.25 C=28913.50 V=388 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.09% sessVol=60190 volRatio=0.85 volTrend=increasing pctAbovePOC=83% pctUpperRange=49% trendStr=6/10 rangePos=0.71 cd24=94 cdRTH=0 deltaAsPct=+0.16% deltaTrend=accel_positive etDelta=0 divActive=False priceSlope=-0.05 deltaSlope=+20.00 barConv=5/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=16 e5=28913.35 e9=28915.14 e21=28921.76 e50=28931.87 abv=5:A 9:B 21:B 50:B POC=28914.75(-1.25pts/0.13ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=POC@28914.75(-1.25pts/0.13ATR) lvlsIn1ATR=1 avwaps=2 nearAvwap=28919.61(falling,-6.11pts) sessVwap=28935.35 AVWAP0[Vol val=28935.27 falling below -21.77pts] AVWAP1[Vol val=28919.61 falling below -6.11pts] atr5m=9.79 atrRatio=0.82 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-54.00 ethLowDist=+13.75 openType=PRE_RTH regime=OVERNIGHT_QUIET(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=878 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28953.50(-40.00) VAL=28907.25(+6.25) volPctl=36 IB=n/a OR=n/a otf=upx1 choch=none valueMigAgeMin=1 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:54:00 sess=ETH_post-RTH bar=83 minsIn=1014 dow=Thursday px=28907.25 O=28906.50 H=28911.50 L=28903.75 C=28907.25 V=292 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.11% sessVol=60922 volRatio=0.63 volTrend=increasing pctAbovePOC=79% pctUpperRange=47% trendStr=6/10 rangePos=0.82 cd24=54 cdRTH=0 deltaAsPct=+0.09% deltaTrend=accel_positive etDelta=0 divActive=False priceSlope=-1.25 deltaSlope=+23.40 barConv=4/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=18 e5=28909.96 e9=28912.30 e21=28919.24 e50=28929.98 abv=5:B 9:B 21:B 50:B POC=28914.75(-7.50pts/0.77ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=POC@28914.75(-7.50pts/0.77ATR) lvlsIn1ATR=2 avwaps=2 nearAvwap=28918.69(falling,-11.44pts) sessVwap=28934.09 AVWAP0[Vol val=28933.99 falling below -26.74pts] AVWAP1[Vol val=28918.69 falling below -11.44pts] atr5m=9.69 atrRatio=0.82 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-60.25 ethLowDist=+7.50 openType=PRE_RTH regime=DRIFTING(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=876 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28952.50(-45.25) VAL=28903.75(+3.50) volPctl=23 IB=n/a OR=n/a otf=nonex0 choch=none valueMigAgeMin=3 inst=MNQ-1m-a33117 mode=HIST
[INDICATOR STATE] sym=MNQ 09-26 ts=2026-05-07 16:56:00 sess=ETH_post-RTH bar=85 minsIn=1016 dow=Thursday px=28904.00 O=28904.00 H=28905.50 L=28901.50 C=28904.00 V=263 sessO=28938.25 sessH=28967.50 sessL=28899.75 pctFromO=-0.12% sessVol=61393 volRatio=0.79 volTrend=decreasing pctAbovePOC=77% pctUpperRange=45% trendStr=6/10 rangePos=0.97 cd24=-27 cdRTH=0 deltaAsPct=-0.04% deltaTrend=accel_negative etDelta=0 divActive=False priceSlope=-1.90 deltaSlope=-24.20 barConv=1/10 swing=INSUFFICIENT_DATA bos=none emaStack=BEARISH stackAge=20 e5=28906.59 e9=28909.27 e21=28916.58 e50=28927.97 abv=5:B 9:B 21:B 50:B POC=28914.75(-10.75pts/1.19ATR) PDH=0.00(N/A) PDL=0.00(N/A) PDC=0.00(N/A) PDO=0.00(N/A) WkH=0.00(N/A) WkL=0.00(N/A) MoH=0.00(N/A) MoL=0.00(N/A) nearest=TL@28899.75(+4.25pts/0.47ATR) lvlsIn1ATR=1 avwaps=2 nearAvwap=28918.00(falling,-14.00pts) sessVwap=28933.23 AVWAP0[Vol val=28933.11 falling below -29.11pts] AVWAP1[Vol val=28918.00 falling below -14.00pts] atr5m=9.00 atrRatio=0.80 volRegime=NORMAL spread=0.2500 spreadRatio=1.00x gap=False gapSz=0.00pts/+0.00% gapDir=DN gapFillDist=+0.00 ethHighDist=-63.50 ethLowDist=+4.25 openType=PRE_RTH regime=OVERNIGHT_QUIET(age=0) REGIME_CHANGE rthPhase=closed ethPhase=post-RTH minsToRTH=874 tape=normal(ticks30s=0 avg=0 ratio=1.0) book=no_L2 corr=none VAH=28951.75(-47.75) VAL=28901.50(+2.50) volPctl=15 IB=n/a OR=n/a otf=downx2 choch=none valueMigAgeMin=5 inst=MNQ-1m-a33117 mode=HIST
